日付,始値,高値,安値,終値,出来高,証券コード
4.6292974429,3.4232458739,3.4232458739,3.4199557485,3.4232458739,6.1172712957,1301
4.6293076401,3.4199557485,3.4265112614,3.4199557485,3.4265112614,6.0492180227,1301
4.6293280338,3.4265112614,3.4265112614,3.4248816366,3.4248816366,5.8808135923,1301
4.6293586226,3.4232458739,3.4232458739,3.4183012913,3.4199557485,5.7242758696,1301
4.6293688184,3.4166405073,3.4216039269,3.414973348,3.4166405073,6.1846914308,1301
4.6293790139,3.414973348,3.4183012913,3.414973348,3.414973348,5.9493900066,1301
4.6293892092,3.414973348,3.4183012913,3.414973348,3.414973348,5.9637878273,1301
4.6293994043,3.4166405073,3.4183012913,3.414973348,3.4166405073,5.7993405495,1301
4.629429988,3.4166405073,3.4166405073,3.414973348,3.4166405073,5.8976270913,1301
4.6294401821,3.4166405073,3.4183012913,3.4166405073,3.4166405073,6.0374264979,1301
4.629450376,3.4183012913,3.4183012913,3.4166405073,3.4183012913,5.5682017241,1301
4.6294605696,3.4166405073,3.4183012913,3.4166405073,3.4166405073,5.6434526765,1301
4.629470763,3.414973348,3.4183012913,3.414973348,3.4166405073,6.0128372247,1301
4.6295013418,3.4183012913,3.4199557485,3.4166405073,3.4183012913,5.7323937598,1301
4.6295115342,3.4183012913,3.4183012913,3.414973348,3.4166405073,5.84509804,1301
4.6295217264,3.414973348,3.4183012913,3.414973348,3.4183012913,5.6720978579,1301
4.6295319183,3.4199557485,3.4216039269,3.4183012913,3.4216039269,5.8692317197,1301
4.6295421101,3.4216039269,3.4248816366,3.4199557485,3.4232458739,6.0934216852,1301
4.6295726838,3.4232458739,3.4248816366,3.4199557485,3.4199557485,6.0681858617,1301
4.6295828745,3.4199557485,3.4313637642,3.4199557485,3.4313637642,6.361727836,1301
4.6295930651,3.42975228,3.4329692909,3.428134794,3.4329692909,6.2329961104,1301
4.6296032553,3.4313637642,3.4329692909,3.42975228,3.4329692909,6.1367205672,1301
4.6296134454,3.42975228,3.4329692909,3.428134794,3.428134794,6.0755469614,1301
4.6296440141,3.4248816366,3.42975228,3.4248816366,3.428134794,5.8512583487,1301
4.6296542032,3.42975228,3.42975228,3.428134794,3.42975228,5.6434526765,1301
4.629664392,3.4265112614,3.42975228,3.4265112614,3.42975228,5.7993405495,1301
4.6296745806,3.428134794,3.428134794,3.4248816366,3.4248816366,5.6720978579,1301
4.629684769,3.4248816366,3.4329692909,3.4232458739,3.4329692909,6.1271047984,1301
4.6297255201,3.4313637642,3.4329692909,3.42975228,3.4329692909,6.0253058653,1301
4.6297357072,3.4313637642,3.434568904,3.428134794,3.434568904,6.1172712957,1301
4.6297560809,3.4313637642,3.4329692909,3.42975228,3.4329692909,6.1731862684,1301
4.6297866395,3.4313637642,3.4329692909,3.4313637642,3.4313637642,5.9138138524,1301
4.6297968253,3.42975228,3.436162647,3.42975228,3.434568904,6.2304489214,1301
4.6298070108,3.4377505628,3.4377505628,3.4339297656,3.4367985102,4.1583624921,1301
4.629817196,3.4374334438,3.4424797691,3.4374334438,3.4393326938,4.559906625,1301
4.629827381,3.4388586594,3.4393326938,3.4353665066,3.438384107,4.1492191127,1301
4.6298579347,3.4393326938,3.4421660858,3.4385423488,3.4404367661,4.2479732664,1301
4.6298681187,3.4394905904,3.4423229557,3.4394905904,3.4420091591,4.3096301674,1301
4.6298783026,3.4420091591,3.4423229557,3.4409090821,3.4415380387,4.1731862684,1301
4.6298884862,3.4416951356,3.4424797691,3.4399639359,3.4416951356,4.220108088,1301
4.6298986695,3.4402792132,3.4404367661,3.4324882558,3.4342494524,4.2174839442,1301
4.6299394005,3.4331295176,3.4367985102,3.4329692909,3.434568904,4.260071388,1301
4.6299495827,3.4329692909,3.4356851379,3.4329692909,3.4332896852,4.0043213738,1301
4.6299597646,3.4332896852,3.4360035357,3.4329692909,3.435844366,4.0492180227,1301
4.6299699463,3.436162647,3.4402792132,3.436162647,3.4382258076,4.2041199827,1301
4.6300004899,3.4391747398,3.4410664066,3.4367985102,3.4382258076,4.1673173347,1301
4.6300106706,3.4402792132,3.4402792132,3.4372747974,3.4401216032,4.1492191127,1301
4.6300208511,3.4424797691,3.4437322414,3.4398062114,3.4429498696,4.357934847,1301
4.6300310314,3.4440447959,3.4448251995,3.4421660858,3.4429498696,4.2479732664,1301
4.6300412114,3.4421660858,3.4424797691,3.4385423488,3.4390167284,4.0334237555,1301
4.63007175,3.4391747398,3.4432629875,3.4391747398,3.4431064567,4.0644579892,1301
4.630081929,3.4440447959,3.4440447959,3.4416951356,3.4424797691,4.0863598307,1301
4.6300921078,3.4409090821,3.4437322414,3.4401216032,3.4423229557,4.2253092817,1301
4.6301022864,3.4415380387,3.4432629875,3.4402792132,3.4420091591,4.220108088,1301
4.6301124648,3.4424797691,3.4434194618,3.4394905904,3.4416951356,4.728353782,1301
4.6301429983,3.4398062114,3.4423229557,3.4377505628,3.4413808849,4.3053513694,1301
4.6301531757,3.4394905904,3.4420091591,3.4394905904,3.4413808849,4.1731862684,1301
4.6301633529,3.4413808849,3.4418521758,3.4387005329,3.4409090821,4.264817823,1301
4.6301837065,3.4416951356,3.4420091591,3.4291060083,3.4308809465,4.4983105538,1301
4.630214235,3.4308809465,3.4308809465,3.4199557485,3.4204508591,4.6009728957,1301
4.6302244108,3.4204508591,3.4220971631,3.4202858849,3.4204508591,4.3598354823,1301
4.6302345862,3.4217684012,3.4220971631,3.4132997641,3.414973348,4.6830470382,1301
4.6302447615,3.4212747912,3.4240645254,3.4197905861,3.4201208481,4.480006943,1301
